frequency_Hz,amp_rad
4.71395175,1.843118189e-05
4.72149407,3.813287431e-05
4.72903640,2.986078227e-05
4.73657872,1.005843426e-05
4.74412104,4.0252924e-06
4.75166337,1.552802028e-05
4.75920569,1.681343324e-05
4.76674801,5.12595306e-06
4.77429033,1.062323685e-05
4.78183266,5.527694394e-06
4.78937498,9.543294573e-06
4.79691730,5.337445139e-06
4.80445962,1.1404762e-05
4.81200195,1.255555141e-05
4.81954427,1.975266408e-05
4.82708659,1.395458479e-05
4.83462892,1.219855773e-05
4.84217124,7.6416009e-06
4.84971356,1.257118226e-05
4.85725588,2.921734921e-05
4.86479821,1.320066504e-05
4.87234053,5.822186682e-06
4.87988285,4.104672219e-06
4.88742518,1.010498723e-05
4.89496750,2.984661385e-06
4.90250982,2.97218852e-05
4.91005214,3.428406293e-05
4.91759447,3.105289593e-05
4.92513679,3.101385675e-05
4.93267911,1.161366665e-05
4.94022144,1.179732563e-05
4.94776376,1.275108122e-05
4.95530608,2.777202575e-06
4.96284840,9.430720486e-06
4.97039073,5.735049673e-06
4.97793305,9.671883033e-06
4.98547537,8.635540941e-06
4.99301769,1.271308218e-05
5.00056002,1.185744451e-05
5.00810234,3.128017616e-05
5.01564466,4.295427288e-05
5.02318699,2.212206729e-05
5.03072931,1.197064116e-05
5.03827163,2.078256989e-05
5.04581395,6.325252969e-06
5.05335628,1.530332654e-05
5.06089860,2.969300518e-05
5.06844092,3.023781823e-05
5.07598325,1.829868856e-05
5.08352557,7.121803072e-06
5.09106789,1.007792544e-05
5.09861021,1.409219854e-05
5.10615254,3.981121793e-06
5.11369486,7.005112456e-06
5.12123718,5.825471553e-06
5.12877951,1.285666588e-05
5.13632183,3.300204603e-05
5.14386415,3.472811991e-05
5.15140647,2.402405519e-05
5.15894880,2.35764068e-05
5.16649112,6.429270209e-06
5.17403344,1.809526297e-05
5.18157576,1.611888979e-05
5.18911809,3.898498767e-06
5.19666041,2.212486266e-05
5.20420273,3.236003768e-05
5.21174506,1.422013776e-05
5.21928738,2.100428896e-05
5.22682970,6.545366038e-06
5.23437202,6.477845922e-06
5.24191435,7.708675796e-06
5.24945667,8.228708397e-06
5.25699899,2.59017535e-05
5.26454132,2.648414939e-05
5.27208364,3.739529089e-05
5.27962596,3.234950369e-05
5.28716828,1.221692525e-05
5.29471061,1.356847659e-05
5.30225293,5.762752235e-06
5.30979525,1.648238718e-05
5.31733758,1.714221266e-05
5.32487990,1.273551133e-05
5.33242222,1.0492276e-05
5.33996454,3.733996193e-06
5.34750687,1.203503066e-05
5.35504919,1.810101445e-05
5.36259151,1.239611696e-06
5.37013383,2.823057589e-05
5.37767616,2.026458645e-05
5.38521848,1.434463087e-05
5.39276080,1.493368538e-05
5.40030313,1.060971595e-05
5.40784545,1.171849287e-05
5.41538777,3.522708529e-06
5.42293009,3.496263984e-06
5.43047242,8.315729811e-06
5.43801474,1.160626905e-05
5.44555706,7.399980823e-06
5.45309939,6.495958267e-06
5.46064171,1.495835715e-05
5.46818403,2.820600186e-05
5.47572635,2.913641129e-05
5.48326868,2.78468198e-05
5.49081100,7.825969875e-06
5.49835332,1.379768495e-05
5.50589565,1.31395884e-05
5.51343797,1.331341426e-05
5.52098029,2.060202051e-05
5.52852261,1.320252023e-05
5.53606494,1.510561426e-05
5.54360726,1.535493749e-05
5.55114958,1.744173369e-05
5.55869190,2.81304606e-05
5.56623423,6.129054942e-06
5.57377655,1.40989278e-05
5.58131887,4.943164413e-06
5.58886120,2.215113219e-05
5.59640352,2.2685058e-05
5.60394584,1.557237265e-05
5.61148816,9.267215963e-06
5.61903049,1.947028525e-05
5.62657281,1.091752101e-05
5.63411513,4.284041897e-06
5.64165746,1.026488223e-05
5.64919978,8.504288678e-06
5.65674210,1.248363092e-06
5.66428442,2.456862633e-05
5.67182675,3.230925787e-05
5.67936907,1.727514058e-05
5.68691139,8.247349765e-06
5.69445372,1.494587539e-05
5.70199604,2.370609593e-05
5.70953836,2.017593415e-05
5.71708068,1.261618158e-05
5.72462301,2.091243519e-05
5.73216533,1.555360762e-05
5.73970765,1.749974931e-05
5.74724997,4.417827605e-05
5.75479230,4.591931107e-05
5.76233462,1.9880483e-05
5.76987694,1.276683767e-05
5.77741927,1.283444714e-05
5.78496159,2.255835202e-06
5.79250391,1.306329635e-05
5.80004623,6.637914522e-06
5.80758856,3.661509505e-06
5.81513088,4.170534817e-06
5.82267320,1.777137548e-05
5.83021553,2.681200556e-05
5.83775785,2.945038256e-05
5.84530017,2.72400415e-05
5.85284249,1.884974433e-05
5.86038482,2.13591144e-05
5.86792714,1.619684948e-05
5.87546946,1.090691922e-05
5.88301179,1.143118189e-05
5.89055411,2.890624691e-06
5.89809643,2.1150979e-06
5.90563875,7.967263244e-06
5.91318108,3.87151533e-06
5.92072340,2.087661278e-05
5.92826572,1.519713738e-05
5.93580804,1.137652862e-05
5.94335037,2.060815032e-05
5.95089269,2.476836095e-05
5.95843501,1.455460531e-05
5.96597734,3.742178534e-06
5.97351966,1.247283609e-05
5.98106198,9.049532973e-06
5.98860430,7.20442592e-06
5.99614663,1.564805234e-05
6.00368895,1.296070225e-05
6.01123127,2.604967011e-05
