time_s,theta1,theta2,theta3,theta4,theta5
5.66666667,-0.4566580715,-0.2223148276,-0.06331164704,-0.002951514331,0.572012136
5.68333333,-0.4539553748,-0.2322051735,-0.1349415173,-0.01582642439,0.6412833474
5.7,-0.447962051,-0.2551177679,-0.1980050669,-0.009662643533,0.6984094867
5.71666667,-0.4412269352,-0.3016583984,-0.2270208747,0.005305890266,0.7421461349
5.73333333,-0.4408630913,-0.3571488986,-0.2244238769,0.02547775384,0.7715668175
5.75,-0.4597575405,-0.392318691,-0.2043865467,0.0495235322,0.7860696348
5.76666667,-0.5027397446,-0.3934308659,-0.1749598701,0.07672209066,0.7853723119
5.78333333,-0.55703761,-0.3699089044,-0.1395864905,0.1064957867,0.7695088722
5.8,-0.6094093926,-0.3339158618,-0.1001461951,0.1382808519,0.7388349974
5.81666667,-0.6530789422,-0.2919381244,-0.05813404548,0.1715044744,0.6940359605
5.83333333,-0.6850206473,-0.2471263995,-0.01500948845,0.2055765553,0.6361284822
5.85,-0.7040978838,-0.2011756205,0.02778877919,0.2398559345,0.5664574844
5.86666667,-0.7098348798,-0.1554944255,0.0688644217,0.2728877905,0.4875350343
5.88333333,-0.7020588902,-0.1114924612,0.1069097116,0.2994005821,0.4059806632
5.9,-0.6809059075,-0.07057833784,0.1403284355,0.3033926107,0.3396880592
5.91666667,-0.6468224996,-0.03415458267,0.1651622858,0.2619090941,0.3164247504
5.93333333,-0.6005606766,-0.003882563341,0.1672582926,0.1987957486,0.3282566791
5.95,-0.5431631307,0.01655264044,0.1213349548,0.1677561051,0.3512167025
