Frequency_Hz,experiment,model_scale0p5
2.004512380090981,0.0010169427982020581,0.005581960286423663
2.011697012277688,0.0009902566799717297,0.009570127180091004
2.0188816444643938,0.0010348097349642139,0.009570127180091004
2.0260662766510995,0.0012187335310637148,0.02084887302099192
2.0332509088378057,0.0007712877851716207,0.02084887302099192
2.040435541024512,0.0008615245309957924,0.02084887302099192
2.0476201732112176,0.0011980123161504546,0.0127396797564621
2.054804805397924,0.001230055704859404,0.0127396797564621
2.06198943758463,0.0027418845289570466,0.006994826706994943
2.069174069771336,0.0034574801373441614,0.006994826706994943
2.076358701958042,0.0017148418689943976,0.007393066926491981
2.083543334144748,0.0072322551291213386,0.007393066926491981
2.0907279663314537,0.007493014320559868,0.007393066926491981
2.09791259851816,0.002988619185461529,0.006175076735516901
2.105097230704866,0.002086450271150092,0.006175076735516901
2.112281862891572,0.0012884173672001854,0.004732856683764617
2.119466495078278,0.0010265678266030294,0.004732856683764617
2.126651127264984,0.0008777979175621876,0.008136079496208754
2.13383575945169,0.0010543221359386266,0.008136079496208754
2.141020391638396,0.0010142467775156533,0.008136079496208754
2.1482050238251023,0.0010815746574549616,0.008606762092611445
2.155389656011808,0.0007061149533742499,0.008606762092611445
2.162574288198514,0.0009513984029793065,0.0077291787231431154
2.1697589203852203,0.0009688219336733414,0.0077291787231431154
2.176943552571926,0.0019494600726757156,0.00835991341882441
2.184128184758632,0.004392778602801228,0.00835991341882441
2.1913128169453384,0.003629651240498068,0.00835991341882441
2.198497449132044,0.0025800833956226244,0.010350980407471944
2.2056820813187503,0.0053613020149896355,0.010350980407471944
2.2128667135054565,0.004137456793810476,0.008510780315968806
2.2200513456921622,0.0016297402253697827,0.008510780315968806
2.2272359778788684,0.0018947724273198048,0.012183248983416337
2.2344206100655746,0.0015016153215392288,0.012183248983416337
2.2416052422522803,0.001222073356139978,0.012183248983416337
2.2487898744389865,0.0009018032623053947,0.021181166697225435
2.2559745066256927,0.0007751958759390124,0.021181166697225435
2.2631591388123984,0.0006348019001698728,0.05273320154287976
2.270343770999105,0.00050987020099793,0.05273320154287976
2.2775284031858107,0.0007733309870008472,0.10919324185601509
2.2847130353725165,0.0014438018538825708,0.10919324185601509
2.291897667559222,0.0014993515783532408,0.09289911153682291
2.299082299745929,0.004511342943267971,0.09289911153682291
2.3062669319326345,0.007103701826658886,0.09289911153682291
2.3134515641193407,0.0034029325948797496,0.029088251701163238
2.320636196306047,0.003667918998094261,0.029088251701163238
2.3278208284927526,0.004066491884559989,0.021706242754054472
2.335005460679459,0.0023201115004692057,0.021706242754054472
2.342190092866165,0.0021418850062106315,0.010109697350133505
2.3493747250528707,0.0012710499353815474,0.010109697350133505
2.356559357239577,0.00046038377920964047,0.010109697350133505
2.363743989426283,0.0006131454019005551,0.005187687699359227
2.370928621612989,0.000737999855532666,0.005187687699359227
2.378113253799695,0.0006511183218797036,0.009294026523387558
2.385297885986401,0.0014876973055457723,0.009294026523387558
2.392482518173107,0.008527748060493076,0.006172176779769503
2.399667150359813,0.014333723827269588,0.006172176779769503
2.406851782546519,0.009252323804834796,0.006172176779769503
2.414036414733225,0.005397007003260542,0.004924341776389523
2.421221046919931,0.011321528617130174,0.004924341776389523
2.4284056791066373,0.01258956587018036,0.003421276804307989
2.435590311293343,0.004831556890375242,0.003421276804307989
